address,city,country,keys,latitude,longitude,name,postalcode,province
1650 S Main St,Laurinburg,US,us/nc/laurinburg/1650smainst/-791445730,34.754263,-79.477012,WENDYS,28352,NC
919 Gordon Dr,Sioux City,US,us/ia/siouxcity/919gordondr/93075755,42.490124,-96.398269,ARBYS,51102,IA
150 Balsam St N,Cambridge,US,us/mn/cambridge/150balsamstn/-791445730,45.573171,-93.198564,WENDYS,55008,MN
995 N Main St,Bluffton,US,us/in/bluffton/995nmainst/93075755,40.756725,-85.165264,ARBYS,46714,IN
1101 N Main St,Roswell,US,us/nm/roswell/1101nmainst/-791445730,33.405,-104.5225,WENDYS,88201,NM
1040 Main St,Altavista,US,us/va/altavista/1040mainst/106088,37.11584176,-79.28009033,KFC,24517,VA
695 Commonwealth Dr,Norton,US,us/va/norton/695commonwealthdr/1780593795,36.95838,-82.60482,SONIC DRIVE-IN,24273,VA
1923 Highway 82 E,Greenville,US,us/ms/greenville/1923highway82e/106088,33.39936,-91.02796,KFC,38703,MS
1205 N Lee Hwy,Lexington,US,us/va/lexington/1205nleehwy/-2061630068,37.80414,-79.40907,BURGER KING,24450,VA
62 Granite St,Quincy,US,us/ma/quincy/62granitest/-2061630068,42.247904,-71.004319,BURGER KING,2169,MA
2108 Bruton Blvd,Orlando,US,us/fl/orlando/2108brutonblvd/-1055723171,28.5182,-81.4262,DOMINOS PIZZA,32805,FL
1025 N Hills Blvd,Reno,US,us/nv/reno/1025nhillsblvd/-2061630068,39.60483,-119.83671,BURGER KING,89506,NV
73 Main St,Placerville,US,us/ca/placerville/73mainst/106088,38.7279,-120.8079,KFC,95667,CA
1003 W Main St,Cabot,US,us/ar/cabot/1003wmainst/106088,34.97604076,-92.02658479,KFC,72023,AR
115 N Dixon Rd,Kokomo,US,us/in/kokomo/115ndixonrd/-891525969,40.48868,-86.1656,SUBWAY,46901,IN
906 State Rd 28,Milford,US,us/oh/milford/906staterd28/93075755,39.191253,-84.254849,ARBYS,45150,OH
21 S 3rd St,Newark,US,us/oh/newark/21s3rdst/-1161002137,40.057139,-82.402302,MCDONALDS,43055,OH
1331 Center Rd,Avon,US,us/oh/avon/1331centerrd/93075755,41.470374,-82.019034,ARBYS,44011,OH
5 Sonja Dr,Rindge,US,us/nh/rindge/5sonjadr/-864103396,42.74295,-72.03664,TACO BELL,3461,NH
540 Beall Ave,Wooster,US,us/oh/wooster/540beallave/-1161002137,40.804127,-81.934325,MCDONALDS,44691,OH
1204 State Route 23,Butler,US,us/nj/butler/1204stateroute23/-791445730,40.99072267,-74.33721336,WENDYS,7405,NJ
6585 Grand Ave,Gurnee,US,us/il/gurnee/6585grandave/-791445730,42.385357,-87.965696,WENDYS,60031,IL
2105 10th Ave,Haleyville,US,us/al/haleyville/210510thave/106088,34.2279,-87.6223,KFC,35565,AL
3601 Gateway Blvd W,El Paso,US,us/tx/elpaso/3601gatewayblvdw/106088,31.7789,-106.4505,KFC,79903,TX
1380 W Elliot Rd,Tempe,US,us/az/tempe/1380welliotrd/-891525969,33.351078,-111.961205,SUBWAY,85284,AZ
7901 Melton Rd,Gary,US,us/in/gary/7901meltonrd/-2061630068,41.5953,-87.2453,BURGER KING,46403,IN
778 S Weber Rd,Romeoville,US,us/il/romeoville/778sweberrd/-1161002137,41.59720113,-88.12360712,MCDONALDS,60446,IL
1 Court St,Machias,US,us/me/machias/1courtst/-891525969,44.71863,-67.45225,SUBWAY,4654,ME
302 N 168th Cir,Omaha,US,us/ne/omaha/302n168thcir/-891525969,41.260788,-96.17703,SUBWAY,68118,NE
